   memsize  time in ns
      1024     2.56039
      1536     2.23844
      2048     2.27334
      3072     2.23138
      4096     2.29183
      6144     2.28821
      8192     2.25640
     12288     2.23502
     16384     2.26757
     24576     2.26599
     32768     2.29903
     49152     4.03747
     65536     4.82210
     98304     6.18006
    131072     6.38619
    196608     7.88832
    262144     8.67159
    393216    14.23571
    524288    23.37411
    786432    26.87810
   1048576    24.10651
   1572864    27.03246
   2097152    25.32584
   3145728    27.20499
   4194304    27.52278
   6291456    41.87898
   8388608    76.41365
  12582912   126.90635
