   memsize  time in ns
      1024     1.16905
      1536     1.16622
      2048     1.16670
      3072     1.16443
      4096     1.16479
      6144     1.16583
      8192     1.16619
     12288     1.16353
     16384     1.15661
     24576     1.18676
     32768     1.17545
     49152     1.17835
     65536     1.79382
     98304     2.30628
    131072     2.55109
    196608     2.81483
    262144     2.91299
    393216     3.59152
    524288     3.91776
    786432     4.24263
   1048576     4.43915
   1572864     6.17232
   2097152     8.07090
   3145728     9.92380
   4194304    10.94603
   6291456    14.58619
   8388608    25.94718
  12582912    60.66610
  16777216    80.44027
  25165824    97.70794
  33554432   106.15963
  50331648   119.02095
  67108864   107.36126
 100663296   110.86555
 134217728   111.29836

